number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_criterion,params_max_depth,params_max_features,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,state
76,0.37123475311607546,2026-06-13 23:13:27.977998,2026-06-13 23:13:29.715599,0 days 00:00:01.737601,6.3296155184541444e-06,entropy,15,0.9264482069580039,0.000377608917848963,15,16,COMPLETE
77,0.36114941038576087,2026-06-13 23:13:29.716271,2026-06-13 23:13:32.504614,0 days 00:00:02.788343,0.0005818055767636647,entropy,14,0.9292455463389971,1.050019001546461e-05,16,13,COMPLETE
78,0.2679704914998237,2026-06-13 23:13:32.505107,2026-06-13 23:13:33.615613,0 days 00:00:01.110506,0.0003240016756960674,entropy,15,0.9666016002469242,0.007578173344161485,14,15,COMPLETE
79,0.3001433938516126,2026-06-13 23:13:33.616344,2026-06-13 23:13:35.081412,0 days 00:00:01.465068,0.0031901072079991155,entropy,15,0.8537820447240883,0.0009130282038990814,17,18,COMPLETE
80,0.2906609762923823,2026-06-13 23:13:35.083210,2026-06-13 23:13:36.770726,0 days 00:00:01.687516,0.004930652933409676,entropy,14,0.9118365861598796,0.0005326520398123333,15,14,COMPLETE
81,0.37363978538917253,2026-06-13 23:13:36.771180,2026-06-13 23:13:38.595825,0 days 00:00:01.824645,4.371142342125779e-05,entropy,15,0.9804538837672911,0.00030803978693736957,16,16,COMPLETE
82,0.3769547025567692,2026-06-13 23:13:38.596312,2026-06-13 23:13:40.504928,0 days 00:00:01.908616,0.00015122238375802892,entropy,15,0.9809206115494219,0.00023511090468979708,16,17,COMPLETE
83,0.376365088593279,2026-06-13 23:13:40.505359,2026-06-13 23:13:42.357762,0 days 00:00:01.852403,8.03072171902873e-05,entropy,15,0.9771912417102715,0.00027031716290836833,16,17,COMPLETE
84,0.35861807779816535,2026-06-13 23:13:42.358333,2026-06-13 23:13:43.958552,0 days 00:00:01.600219,0.00045324439315174797,entropy,15,0.9846268785020746,0.0007678195150274212,14,17,COMPLETE
85,0.3801075147788001,2026-06-13 23:13:43.959251,2026-06-13 23:13:45.882278,0 days 00:00:01.923027,0.00014649903219758278,entropy,15,0.9973667098962989,0.0002003299760392086,16,17,COMPLETE
