number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
40,0.4179232457475413,2026-06-14 11:48:13.289071,2026-06-14 11:48:16.623194,0 days 00:00:03.334123,0.676160634612581,1.8526166027434623,0.3010969895176348,128,0.3417872955797465,7,2.5367734959214414,600,0.07099549845593915,0.18371004437444077,0.9555878800061057,COMPLETE
41,0.42365851187485715,2026-06-14 11:48:16.623783,2026-06-14 11:48:21.825681,0 days 00:00:05.201898,0.6554405517101418,2.4945507377716387,0.019463878545209812,256,8.632496552140115,6,1.2600055543026571,350,0.005648364435562286,2.130324788220156,0.8355327171557922,COMPLETE
42,0.4233358005411675,2026-06-14 11:48:21.826343,2026-06-14 11:48:26.788589,0 days 00:00:04.962246,0.6906648907575027,2.4911560881433266,0.04034384923897753,256,9.1599115524851,6,1.2253936829031977,450,0.009136587272262204,3.8452699154039065,0.8441903712512989,COMPLETE
43,0.42374348409814466,2026-06-14 11:48:26.789102,2026-06-14 11:48:31.529031,0 days 00:00:04.739929,0.6548320559391798,2.6050833917319385,0.034733485974555924,256,9.55416092925564,6,1.2937474231197945,350,0.0016008569255827093,4.536367166708498,0.8436781546474934,COMPLETE
44,0.42355849174528687,2026-06-14 11:48:31.529599,2026-06-14 11:48:38.123085,0 days 00:00:06.593486,0.655385876355382,2.423442964768081,0.02144018740368068,256,8.016533198084701,7,1.2581112971583241,350,0.0016413377815187812,5.4295676010591,0.8405622018639493,COMPLETE
45,0.42323703831860415,2026-06-14 11:48:38.123645,2026-06-14 11:48:46.208363,0 days 00:00:08.084718,0.65396227902385,3.0059983389517018,0.01307330309746812,256,8.22866890633838,8,1.9458492743715259,350,0.0018168354000185902,5.565309990957774,0.7950895461432169,COMPLETE
46,0.42326654652113643,2026-06-14 11:48:46.209039,2026-06-14 11:48:51.480448,0 days 00:00:05.271409,0.6658542720349392,2.301873676959743,0.020543029152466714,256,7.766936316899062,7,1.2613489103247058,250,0.0013717030771735054,6.1687326358986025,0.8419885352472801,COMPLETE
47,0.4213634250819743,2026-06-14 11:48:51.481927,2026-06-14 11:49:00.462202,0 days 00:00:08.980275,0.647240930747908,3.4986489159487055,0.006084114875097167,256,7.250065006831722,8,2.894165866315861,350,0.0017675662173469362,2.2085490443870897,0.8798494204157137,COMPLETE
48,0.42361565758453457,2026-06-14 11:49:00.462818,2026-06-14 11:49:08.598240,0 days 00:00:08.135422,0.6242638535924175,2.019703602300046,0.01611500875634728,256,6.398869755627292,7,1.7085908880686054,400,0.0032234640989654098,0.43796996615340233,0.7902718238239546,COMPLETE
49,0.42286359622740266,2026-06-14 11:49:08.598823,2026-06-14 11:49:14.117641,0 days 00:00:05.518818,0.6257544707602414,1.9207352230758041,0.015540131015748816,256,5.3301197021366296,7,2.359492283667907,250,0.0030416865915918016,3.260909295588618,0.7720511535259997,COMPLETE
50,0.42198302207677446,2026-06-14 11:49:14.118237,2026-06-14 11:49:18.495773,0 days 00:00:04.377536,0.6053091306543702,2.9102519771508972,0.023067687246268093,256,4.4216896713184966,9,4.065547307065315,150,0.0015952696764959529,9.60003028355677,0.7120123053284112,COMPLETE
51,0.4228527895991113,2026-06-14 11:49:18.496371,2026-06-14 11:49:24.741037,0 days 00:00:06.244666,0.6548938663772219,2.157841108700677,0.010412895267357086,256,6.462034821835148,6,1.7002631460170154,400,0.006092030367694588,0.558999265986894,0.8247152211930594,COMPLETE
52,0.423280321613879,2026-06-14 11:49:24.741594,2026-06-14 11:49:29.965212,0 days 00:00:05.223618,0.6871250562335305,2.5112400918923177,0.017791073414979236,256,1.7119947063923746,6,1.1931247218470715,300,0.003605591598555267,0.4002202923847979,0.8030699675793243,COMPLETE
53,0.42196236277862925,2026-06-14 11:49:29.965824,2026-06-14 11:49:35.967701,0 days 00:00:06.001877,0.6407941476904104,1.9546042959344283,0.04865649906896984,256,7.918544727061163,7,1.514661833639038,450,0.0021773403387860715,0.9188765981634675,0.7793170283877201,COMPLETE
54,0.4201039231746921,2026-06-14 11:49:35.968279,2026-06-14 11:49:42.871740,0 days 00:00:06.903461,0.6226139559163879,3.22236189713553,0.005104201849154801,256,6.66217838486362,6,1.8951929952004691,400,0.005231798144540666,0.20857065832841123,0.7600958037162933,COMPLETE
55,0.42254509746753943,2026-06-14 11:49:42.872358,2026-06-14 11:49:49.761895,0 days 00:00:06.889537,0.6682989576538322,2.4775855590626126,0.026211927210687047,256,6.220229799037585,8,1.3017445365943319,350,0.016292804595086367,1.6329186552521022,0.8547760026522561,COMPLETE
56,0.4227447776200445,2026-06-14 11:49:49.764026,2026-06-14 11:49:55.408016,0 days 00:00:05.643990,0.6997845811348449,1.6836229549144015,0.03442237773358342,512,5.351475882541875,7,2.2637008550323845,300,0.002631761164179683,4.713262221000149,0.90230604341196,COMPLETE
57,0.4232290972634029,2026-06-14 11:49:55.408532,2026-06-14 11:50:02.396635,0 days 00:00:06.988103,0.6010730301057912,2.79204571944986,0.014851860056251841,32,7.492598660493151,6,1.1328491011484834,450,0.0012120465156236567,6.562771055406463,0.811013149816671,COMPLETE
58,0.42069464058192646,2026-06-14 11:50:02.397273,2026-06-14 11:50:09.845625,0 days 00:00:07.448352,0.6512759308579041,2.141509116422376,0.07738710701956056,256,8.865763287167557,6,2.7992630173644675,500,0.003619765841027453,0.08902067706778369,0.7349691990884405,COMPLETE
59,0.42312989497946074,2026-06-14 11:50:09.846435,2026-06-14 11:50:29.420209,0 days 00:00:19.573774,0.6811068059054158,2.402539124531086,0.00893505883900791,256,8.432770871052725,8,1.3911715377916183,1000,0.012510988098079616,0.5455372849431405,0.830931255123342,COMPLETE
60,0.423510123159261,2026-06-14 11:50:29.420785,2026-06-14 11:50:33.133783,0 days 00:00:03.712998,0.619777991251151,3.1014569149040923,0.05429981032232021,256,9.76911906863324,7,1.6170430567425862,250,0.00184367958502095,0.29795683685988017,0.8880658424199483,COMPLETE
61,0.42323216556986143,2026-06-14 11:50:33.134326,2026-06-14 11:50:36.685785,0 days 00:00:03.551459,0.6304339207722176,2.5630705751003826,0.055312293318099455,256,9.99572497428404,7,1.6378200066311546,250,0.0018582593839765538,0.17329206370711275,0.8506957035240106,COMPLETE
62,0.42271216670140144,2026-06-14 11:50:36.686305,2026-06-14 11:50:40.703165,0 days 00:00:04.016860,0.6138988146873737,3.0750864686706025,0.042044199989618176,256,9.621433137711405,7,1.7895020845604224,350,0.0014677944726347845,0.2734862262585007,0.8929657457300075,COMPLETE
63,0.42206108398622816,2026-06-14 11:50:40.703827,2026-06-14 11:50:43.265893,0 days 00:00:02.562066,0.6621660295038578,3.417514843005267,0.1044661322057686,256,8.025962741913949,7,1.4963647759808623,300,0.005303889937132858,1.1586701778166792,0.9111350240612082,COMPLETE
64,0.42113965685585375,2026-06-14 11:50:43.266427,2026-06-14 11:50:44.962887,0 days 00:00:01.696460,0.6424494231525382,2.826147398058189,0.195509367310502,256,9.047532347667069,6,1.145150792144943,150,0.0025442145895480353,0.6790181661271456,0.8744121978856958,COMPLETE
65,0.42195039714937455,2026-06-14 11:50:44.963419,2026-06-14 11:50:50.228691,0 days 00:00:05.265272,0.9249054717881188,2.2765123787722663,0.02719280393210876,32,9.656774302570247,7,1.0006284612919307,400,0.007076699264002031,0.4056343982329244,0.8878097793882124,COMPLETE
66,0.42217324898506153,2026-06-14 11:50:50.229232,2026-06-14 11:50:53.489875,0 days 00:00:03.260643,0.6180152887673278,3.1167357933830133,0.07207501989046748,256,8.586627428718405,8,2.1345696132561627,300,0.004002375189866756,1.818423271709403,0.8652493576083052,COMPLETE
67,0.4221354436760375,2026-06-14 11:50:53.490541,2026-06-14 11:50:56.935870,0 days 00:00:03.445329,0.7090015858531238,3.9299339795493182,0.02228492158111577,512,6.97860588275755,6,1.3211621347029248,200,0.5659326146854136,2.9130881343340835,0.9263226414733571,COMPLETE
68,0.4233358840146746,2026-06-14 11:50:56.936405,2026-06-14 11:51:01.779782,0 days 00:00:04.843377,0.634984406808975,1.8308335323617215,0.017768678085967677,256,7.9740227089095805,5,1.5697254985718836,400,0.0010949236200992441,0.2703186324298536,0.8210268972249147,COMPLETE
69,0.4240053378167053,2026-06-14 11:51:01.780331,2026-06-14 11:51:06.208020,0 days 00:00:04.427689,0.6747094489113814,2.0255852110423573,0.039172956641109376,256,7.364278873093017,6,2.547731787653963,350,0.0031292821345112526,0.11200792325673056,0.8014242636892306,COMPLETE
70,0.42324674730888034,2026-06-14 11:51:06.208541,2026-06-14 11:51:11.672301,0 days 00:00:05.463760,0.682992267412886,2.073631377682819,0.03514259981336844,256,7.368362165450074,6,3.565483228573943,500,0.007983710373169,0.07722655859187992,0.7984947210683179,COMPLETE
71,0.422975994465694,2026-06-14 11:51:11.672859,2026-06-14 11:51:15.870767,0 days 00:00:04.197908,0.6659227552480481,2.625939449018233,0.05757496541894363,256,6.7469287389866786,7,2.6453479172907963,350,0.0027839667262987374,0.1399168765488369,0.8381127592645848,COMPLETE
72,0.42284850137940283,2026-06-14 11:51:15.871318,2026-06-14 11:51:21.149792,0 days 00:00:05.278474,0.6476279339087807,1.5467718570547326,0.042399266006941536,256,8.90659691451106,6,3.095295881077366,400,0.00202532238452329,0.04634647791385102,0.7860501484487176,COMPLETE
73,0.4235417523995445,2026-06-14 11:51:21.150311,2026-06-14 11:51:24.760065,0 days 00:00:03.609754,0.6959392162046418,2.3246781894135955,0.0286784795862042,256,8.512981491159804,5,1.8972962679456167,250,0.004888706882124202,0.7362491286600359,0.8132741187606665,COMPLETE
74,0.4241263188121279,2026-06-14 11:51:24.760627,2026-06-14 11:51:29.040401,0 days 00:00:04.279774,0.6743992038071223,2.369148990561728,0.029329881879155344,256,7.75427462045282,5,1.85765746022775,350,0.004600186094859403,0.8454358531499712,0.761831827295388,COMPLETE
75,0.4239997724263169,2026-06-14 11:51:29.040912,2026-06-14 11:51:33.215822,0 days 00:00:04.174910,0.6964360512234713,2.345449580756419,0.030317441027630735,256,7.5672956690244115,5,2.344321578865527,350,0.005359485936388163,1.302926586136658,0.7544837926109167,COMPLETE
76,0.42094699707607186,2026-06-14 11:51:33.216326,2026-06-14 11:51:37.395417,0 days 00:00:04.179091,0.6769375412676029,1.9859931496006473,0.011800448637303524,64,7.707379228728888,5,2.377085206732082,350,0.003433890402656817,2.2721449000954146,0.7505884819949875,COMPLETE
77,0.4219221711222879,2026-06-14 11:51:37.395965,2026-06-14 11:51:41.655151,0 days 00:00:04.259186,0.7121062225382785,1.738265224217809,0.01591076575079193,32,6.930555390028536,4,3.793265381894027,450,0.005910632933924238,1.5407042760349272,0.7253711116974726,COMPLETE
78,0.42327850814619844,2026-06-14 11:51:41.655676,2026-06-14 11:51:45.974546,0 days 00:00:04.318870,0.7460288600455914,2.644203505182955,0.020377121032086144,256,7.290583796684305,5,2.119689881222773,350,0.004216064716621372,4.298394878861676,0.7654440603682638,COMPLETE
79,0.4232313126703911,2026-06-14 11:51:45.975124,2026-06-14 11:51:53.732261,0 days 00:00:07.757137,0.694457124407475,2.8750695889893105,0.032753899332704554,256,8.040816619476388,6,4.797965932480879,950,0.011027669523212097,1.0202737695566566,0.7001373128801773,COMPLETE
80,0.42364385194760823,2026-06-14 11:51:53.732861,2026-06-14 11:51:58.187245,0 days 00:00:04.454384,0.6719623431070006,2.3758648332970287,0.024563864112041516,512,5.625913939812873,5,2.5164127007122956,300,0.0031579470392607864,0.02504337270237431,0.7789246460218805,COMPLETE
81,0.42340854412564444,2026-06-14 11:51:58.187815,2026-06-14 11:52:02.315599,0 days 00:00:04.127784,0.6710039495176667,2.3897109263112997,0.02463172278722391,512,5.667468199909774,5,3.176522713435044,300,0.0023751717044516707,0.01382844632090255,0.7521216086046639,COMPLETE
82,0.42326499898008435,2026-06-14 11:52:02.316157,2026-06-14 11:52:05.604446,0 days 00:00:03.288289,0.6639991106999056,2.159358393395956,0.03776535002046815,512,4.958562402543282,4,2.6119921267517623,300,0.0031590929699942508,3.461097294241651,0.7746362882663272,COMPLETE
83,0.4235337258500816,2026-06-14 11:52:05.604945,2026-06-14 11:52:09.767734,0 days 00:00:04.162789,0.6567367192140284,2.4235255121804813,0.0466221120235197,512,6.2558494601846455,5,2.2668703812770503,400,0.0014188072454914581,0.004675695457769891,0.7806572409604133,COMPLETE
84,0.4217103746751464,2026-06-14 11:52:09.768277,2026-06-14 11:52:14.306544,0 days 00:00:04.538267,0.6796753352792199,2.0542258914088314,0.012979601797059277,512,6.302809711557639,5,1.8476816960595777,350,0.004950553939643706,1.3331206965773514,0.7904750453196142,COMPLETE
85,0.4234790562235545,2026-06-14 11:52:14.307089,2026-06-14 11:52:17.624130,0 days 00:00:03.317041,0.6371758463537467,2.528883911391449,0.0285776521565298,256,5.693685465596708,6,1.3884885559551494,200,0.007705255926537472,0.02852142788666829,0.8070757218724052,COMPLETE
86,0.4215367785466423,2026-06-14 11:52:17.624666,2026-06-14 11:52:20.852018,0 days 00:00:03.227352,0.6890875369633352,1.888612214596174,0.020195898830358244,256,7.675129100165288,4,2.0420432634772308,300,0.002246900577893678,2.0928437476439603,0.74472523986257,COMPLETE
87,0.42293405159868414,2026-06-14 11:52:20.852607,2026-06-14 11:52:28.129776,0 days 00:00:07.277169,0.7184631161902921,2.680367911724936,0.03050910403762276,512,3.817732748956059,6,2.930437724199602,700,0.00420945688462435,0.05912660743400427,0.725282427225383,COMPLETE
88,0.42385374570221224,2026-06-14 11:52:28.131926,2026-06-14 11:52:34.801348,0 days 00:00:06.669422,0.7051941900854595,2.1975883750987477,0.023406045743309564,256,6.846310923139145,6,2.5028606082477944,450,0.003193895992014128,2.7696319074173537,0.7611602151892128,COMPLETE
89,0.4234221348015287,2026-06-14 11:52:34.801959,2026-06-14 11:52:41.898934,0 days 00:00:07.096975,0.701800973343831,1.436828521575909,0.017268672616988313,64,6.076874955676401,6,4.165963832989372,450,0.006166010321813141,2.729351343669681,0.7668775631907605,COMPLETE
90,0.4152485732867257,2026-06-14 11:52:41.899513,2026-06-14 11:52:49.223055,0 days 00:00:07.323542,0.6745446202736427,2.231082629087578,0.002271969989131144,256,6.657771035902019,5,2.4351124047825743,550,0.00336796364855431,0.8985056711055917,0.7542617578721948,COMPLETE
91,0.42359052707296085,2026-06-14 11:52:49.223571,2026-06-14 11:52:54.825682,0 days 00:00:05.602111,0.6583808013763482,2.3675748830602474,0.023113223389307866,256,7.237704434538785,6,2.215158579667291,350,0.002712924617926041,5.074270724313125,0.7994609606271268,COMPLETE
92,0.4240113356018821,2026-06-14 11:52:54.826400,2026-06-14 11:53:00.811376,0 days 00:00:05.984976,0.6282648394726323,2.2933885875156568,0.02539890401183272,256,7.177503939198512,6,2.240444621127383,400,0.002817753210447778,6.744960824371521,0.7951196155438266,COMPLETE
93,0.4231922504800095,2026-06-14 11:53:00.812148,2026-06-14 11:53:05.689966,0 days 00:00:04.877818,0.6328052048357027,2.1881424427294456,0.04678144241780689,256,6.918990372815498,6,3.4436903153817533,400,0.004430613356562692,7.906349204719629,0.7844421788388856,COMPLETE
94,0.4227726076398787,2026-06-14 11:53:05.690612,2026-06-14 11:53:11.684883,0 days 00:00:05.994271,0.6080733149513278,2.577279432392604,0.014157396280862359,256,7.454679168634479,5,2.67055353976923,450,0.003072827578755679,6.927403897245025,0.7324242144495325,COMPLETE
95,0.42362183815168886,2026-06-14 11:53:11.685504,2026-06-14 11:53:17.951584,0 days 00:00:06.266080,0.6441729464554561,1.779759144180591,0.02640305671975401,256,6.523922704444303,6,1.7465487619356292,400,0.013622590416616872,0.6574644425066197,0.7674560798858499,COMPLETE
96,0.42318495772255293,2026-06-14 11:53:17.952128,2026-06-14 11:53:22.764767,0 days 00:00:04.812639,0.727054499242381,1.6284209566368597,0.037448053424605394,128,5.092743982431045,6,1.903074280876494,300,0.024904604398955428,3.8395116824361666,0.7663819545632675,COMPLETE
97,0.4234858064340818,2026-06-14 11:53:22.765430,2026-06-14 11:53:29.727877,0 days 00:00:06.962447,0.6444946202868153,1.7699296975898968,0.025084515383791032,256,6.739917200975023,6,2.562596699847614,450,0.012754241317548048,0.017820415174716615,0.7424286848828405,COMPLETE
98,0.42373828402728925,2026-06-14 11:53:29.728590,2026-06-14 11:53:35.086052,0 days 00:00:05.357462,0.6887490538571529,2.750970825853517,0.03190838395228568,256,9.355377958349969,5,2.989586845372353,500,0.014798341697162636,1.2902530134323715,0.7756917331594549,COMPLETE
99,0.42377761320658924,2026-06-14 11:53:35.086598,2026-06-14 11:53:40.329657,0 days 00:00:05.243059,0.7145056412155174,2.764719704394402,0.03239825841532873,32,9.3199361713167,5,5.401452094849121,500,0.01726152643288383,1.8405832843741798,0.6242706091308619,COMPLETE
100,0.423077630581764,2026-06-14 11:53:40.330224,2026-06-14 11:53:45.020026,0 days 00:00:04.689802,0.6987948845117289,2.743413575991914,0.06427843215035058,32,9.400515290798781,5,8.76044834412629,500,0.019895805431182387,1.8521113537013023,0.6059570463007723,COMPLETE
101,0.42353741286323443,2026-06-14 11:53:45.020612,2026-06-14 11:53:50.390085,0 days 00:00:05.369473,0.7600592545594608,3.00248067306454,0.03156433040211664,32,9.298751346162124,5,5.902779209731103,550,0.03203423926269434,1.2885128349688908,0.6447095441248878,COMPLETE
